index,arrivalTime,position,duration,syllableType
1,0,5,1,Normal
2,2,2,1,Normal
3,2.875,3,1,Normal
4,3.875,1,1,Normal
5,5.75,6,1,Normal
6,7.625,2,1,Normal
7,9.5,5,1,Normal
8,10.5,6,1,Normal
9,11.375,4,1,Normal
10,13.25,6,1,Normal
11,15.25,2,1,Normal
12,16.125,3,1,Normal
13,17.125,5,1,Normal
14,18.125,6,1,Normal
15,19.125,1,1,Normal
16,20,2,1,Normal
17,21,4,1,Normal
18,21.875,5,1,Normal
19,22.875,1,1,Normal
20,23.875,4,1,Normal
21,24.75,2,1,Normal
22,25.75,5,1,Normal
23,26.625,3,1,Normal
24,27.625,6,1,Normal
25,28.625,2,1,Normal
26,29.5,5,1,Normal
27,30.5,2,31.625,Hold
28,30.75,5,1,Normal
29,31,4,1,Normal
30,31.25,6,1,Normal
31,31.5,5,1,Normal
32,31.75,4,1,Normal
33,32,3,1,Normal
34,32.25,4,1,Normal
35,32.5,1,34.125,Hold
36,32.625,5,1,Normal
37,32.875,3,1,Normal
38,33.125,4,1,Normal
39,33.375,6,1,Normal
40,34.250 ,2,34.875,Hold
41,34.250 ,4,1,Normal
42,34.5,5,1,Normal
43,34.75,4,1,Normal
44,35.25,3,1,Normal
45,35.5,6,1,Normal
46,35.75,4,1,Normal
47,36.125,5,1,Normal
48,36.375,1,1,Normal
49,36.625,3,1,Normal
50,37.125,4,1,Normal
51,37.625,5,1,Normal
52,38.125,6,1,Normal
53,38.375,2,1,Normal
54,38.625,3,1,Normal
55,38.875,2,1,Normal
56,39.125,4,1,Normal
57,39.375,3,1,Normal
58,39.625,2,1,Normal
59,40,5,41,Hold
60,41,6,42.125,Hold
61,41.875,4,43.125,Hold
62,42.875,3,43.875,Hold
63,43.875,4,45.75,Hold
64,45.625,5,45.875,Hold
65,46.25,3,1,Normal
66,46.25,5,46.875,Hold
67,46.5,1,1,Normal
68,46.7,2,1,Normal
69,47.125,3,1,Normal
70,47.375,4,1,Normal
71,47.625,1,1,Normal
72,47.875,2,1,Normal
73,48.125,5,1,Normal
74,48.625,1,49.125,Hold
75,48.75,6,1,Normal
76,49.125,2,1,Normal
77,49.375,1,50,Hold
78,49.5,5,1,Normal
79,49.75,4,1,Normal
80,50,4,1,Normal
81,50.25,5,1,Normal
82,50.5,3,1,Normal
83,51,5,1,Normal
84,51.25,6,1,Normal
85,51.5,1,1,Normal
86,51.75,5,1,Normal
87,52,6,1,Normal
88,52.375,1,53,Hold
89,52.875,5,1,Normal
90,53,1,53.375,Hold
91,53.125,4,1,Normal
92,53.375,1,54,Hold
93,53.375,3,1,Normal
94,53.625,4,1,Normal
95,53.875,3,1,Normal
96,54.125,6,1,Normal
97,54.375,5,1,Normal
98,54.750 ,3,1,Normal
99,55,6,1,Normal
100,55.25,2,1,Normal
101,55.5,5,1,Normal
102,55.75,4,1,Normal
103,56,6,1,Normal
104,56.25,1,56.75,Hold
105,56.75,2,1,Normal
106,57,1,57.5,Hold
107,57.125,6,1,Normal
108,57.375,4,1,Normal
109,57.625,5,1,Normal
110,57.875,3,1,Normal
111,58.125,5,1,Normal
112,58.625,1,1,Normal
113,58.625,4,1,Normal
114,58.875,6,1,Normal
115,59,1,59.375,Hold
116,59.125,5,1,Normal
